model_family,agent_type,variant,n_cells,majority_success_rate,ci_lo,ci_hi,trend_z,trend_p,binary_z,binary_p
anthropic,text-only,low,13,38.5,17.7,64.5,3.147,0.0016485165533330903,4.005,6.20629896861182e-05
anthropic,text-only,medium-low,13,100.0,77.2,100.0,3.147,0.0016485165533330903,4.005,6.20629896861182e-05
anthropic,text-only,base,13,92.3,66.7,98.6,3.147,0.0016485165533330903,4.005,6.20629896861182e-05
anthropic,text-only,high,13,92.3,66.7,98.6,3.147,0.0016485165533330903,4.005,6.20629896861182e-05
anthropic,vision-only,low,13,0.0,0.0,22.8,2.061,0.03932745024003648,2.253,0.02428247530605959
anthropic,vision-only,medium-low,13,30.8,12.7,57.6,2.061,0.03932745024003648,2.253,0.02428247530605959
anthropic,vision-only,base,13,23.1,8.2,50.3,2.061,0.03932745024003648,2.253,0.02428247530605959
anthropic,vision-only,high,13,38.5,17.7,64.5,2.061,0.03932745024003648,2.253,0.02428247530605959
anthropic,cua,low,13,53.8,29.1,76.8,2.726,0.006419628541433742,3.474,0.0005130636898607732
anthropic,cua,medium-low,13,100.0,77.2,100.0,2.726,0.006419628541433742,3.474,0.0005130636898607732
anthropic,cua,base,13,100.0,77.2,100.0,2.726,0.006419628541433742,3.474,0.0005130636898607732
anthropic,cua,high,13,92.3,66.7,98.6,2.726,0.006419628541433742,3.474,0.0005130636898607732
meta,text-only,low,13,38.5,17.7,64.5,2.04,0.041389404009149366,1.975,0.04828610767668167
meta,text-only,medium-low,13,61.5,35.5,82.3,2.04,0.041389404009149366,1.975,0.04828610767668167
meta,text-only,base,13,69.2,42.4,87.3,2.04,0.041389404009149366,1.975,0.04828610767668167
meta,text-only,high,13,76.9,49.7,91.8,2.04,0.041389404009149366,1.975,0.04828610767668167
