operator,family,n_urls,ssim_mean,ssim_median,ssim_p10,ssim_p25,ssim_p75,ssim_p90,ssim_std,ssim_min,phash_mean,delta_from_noise,cohens_d,wilcoxon_p,visual_change
L5,Low,336,0.8114,0.8339,0.5685,0.6843,0.8988,0.9974,0.1474,0.5272,16.89,-0.1881,29.561,0.0,YES
L6,Low,336,0.8909,0.8887,0.8067,0.8343,0.9342,0.9524,0.0635,0.6854,5.48,-0.1086,17.071,0.0,YES
L11,Low,336,0.968,0.9785,0.9282,0.967,0.9818,0.996,0.0326,0.8,5.11,-0.0315,4.949,0.0,YES
L3,Low,336,0.9881,0.9994,0.9607,0.9836,1.0,1.0,0.0277,0.7624,1.45,-0.0114,1.798,0.0,no
ML3,Midlow,336,0.9912,0.9994,0.9745,0.9901,1.0,1.0,0.0212,0.8561,1.54,-0.0083,1.31,0.0,no
L1,Low,336,0.9986,1.0,0.997,1.0,1.0,1.0,0.0074,0.9042,0.3,-0.0009,0.143,0.0,no
H6,High,336,0.9971,1.0,1.0,1.0,1.0,1.0,0.0193,0.8,0.52,-0.0024,0.382,0.006926,no
H5c,High,336,0.9978,1.0,1.0,1.0,1.0,1.0,0.017,0.8,0.35,-0.0017,0.269,0.009516,no
H5b,High,336,0.9978,1.0,1.0,1.0,1.0,1.0,0.017,0.8,0.35,-0.0017,0.268,0.041351,no
H5a,High,336,0.9981,1.0,1.0,1.0,1.0,1.0,0.0159,0.8,0.26,-0.0014,0.216,0.085315,no
H4,High,336,0.9982,1.0,1.0,1.0,1.0,1.0,0.0154,0.8,0.26,-0.0013,0.202,0.103272,no
H3,High,336,0.9978,1.0,1.0,1.0,1.0,1.0,0.017,0.8,0.35,-0.0017,0.269,0.032001,no
H2,High,336,0.9978,1.0,1.0,1.0,1.0,1.0,0.017,0.8,0.38,-0.0017,0.274,0.002034,no
H1,High,336,0.9981,1.0,1.0,1.0,1.0,1.0,0.0144,0.8719,0.36,-0.0014,0.227,0.035365,no
L13,Low,336,0.9978,1.0,1.0,1.0,1.0,1.0,0.0155,0.8719,0.45,-0.0018,0.277,0.006055,no
ML1,Midlow,336,0.9785,1.0,0.8456,1.0,1.0,1.0,0.0553,0.8197,1.96,-0.0211,3.309,0.0,no
H7,High,336,0.9973,1.0,1.0,1.0,1.0,1.0,0.0187,0.8,0.52,-0.0022,0.348,0.046745,no
L12,Low,336,0.9965,1.0,1.0,1.0,1.0,1.0,0.0212,0.7644,0.5,-0.003,0.473,0.062238,no
L10,Low,336,0.9966,1.0,1.0,1.0,1.0,1.0,0.0206,0.8,0.7,-0.0029,0.457,0.0,no
L9,Low,336,0.9652,1.0,0.8658,0.9301,1.0,1.0,0.0589,0.7005,5.81,-0.0343,5.392,0.0,no
L8,Low,336,0.9968,1.0,1.0,1.0,1.0,1.0,0.0202,0.8,0.61,-0.0028,0.434,0.006965,no
L7,Low,336,0.9968,1.0,1.0,1.0,1.0,1.0,0.0202,0.8,0.62,-0.0028,0.434,0.042175,no
L4,Low,336,0.9995,1.0,1.0,1.0,1.0,1.0,0.0067,0.9092,0.01,-0.0,0.007,0.17772,no
L2,Low,336,0.9997,1.0,1.0,1.0,1.0,1.0,0.0053,0.9046,0.01,0.0001,-0.022,0.675204,no
ML2,Midlow,336,0.9981,1.0,1.0,1.0,1.0,1.0,0.0145,0.8719,0.45,-0.0014,0.227,0.014879,no
H8,High,336,0.9968,1.0,1.0,1.0,1.0,1.0,0.0202,0.8,0.61,-0.0028,0.434,0.004021,no
