subset,predictor,beta,se,z,p,OR,ci_lo,ci_hi
All agents (text-only Claude),const,,,,,,,
All agents (text-only Claude),_variant,,,,,,,
Text-only Llama 4,const,-0.16842335980655734,0.39355660797532604,-0.42795205668892394,0.6686860259511519,0.8449960215959185,0.39071372928495807,1.827471683218424
Text-only Llama 4,_variant,0.5633476945315665,0.2333819706937056,2.4138441065394614,0.01578521458297403,1.7565430379526907,1.111741202670621,2.775325261642031
Vision-only (SoM),const,-1.9159292578251277,0.3492468767512793,-5.485888021812094,4.113974508449479e-08,0.14720497763187926,0.07424086360430683,0.2918784128791439
Vision-only (SoM),_variant,0.479196391559678,0.13957881293270416,3.4331599580999117,0.0005965900185538825,1.6147762328428878,1.2282948972148946,2.122863400366367
CUA,const,,,,,,,
CUA,_variant,,,,,,,
All text-only (both models),const,0.362625423829424,0.35343962714724786,1.0259897192522478,0.30489643004282196,1.4370974559491891,0.7188493171108593,2.8729930581225456
All text-only (both models),_variant,0.7908391343063791,0.3385469520639393,2.3359806652668316,0.019492249251189094,2.2052461477616077,1.1357569003017447,4.281823487865576
