pair,n,interaction_pp,boot_ci_lo,boot_ci_hi,ci_excludes_zero
L6+L11,39,24.1,8.5,41.0,yes
L9+L11,39,19.0,-0.3,37.7,no
L4+L6,39,16.4,1.3,31.8,yes
L1+L6,39,16.4,-5.6,40.0,no
L4+L11,39,13.8,-4.6,30.8,no
L6+L9,39,13.8,-1.8,29.0,no
L5+L11,39,11.3,-11.5,33.6,no
L4+L9,39,8.7,-8.5,26.4,no
L1+L11,39,8.7,-15.9,32.1,no
L1+L9,39,8.7,-14.9,32.8,no
L2+L9,39,8.7,-11.0,27.2,no
L9+L12,39,8.7,-13.1,29.5,no
L6+L12,39,8.7,-9.7,26.7,no
L1+L4,39,6.2,-17.7,29.7,no
L11+L12,39,6.2,-14.1,26.9,no
L2+L11,39,3.6,-13.3,20.8,no
L2+L6,39,3.6,-9.5,15.9,no
L5+L9,39,1.0,-21.8,22.8,no
L1+L2,39,1.0,-22.6,25.4,no
L4+L12,39,1.0,-19.0,21.3,no
L2+L12,39,-4.1,-25.4,16.4,no
L2+L4,39,-4.1,-20.0,11.5,no
L5+L6,39,-4.1,-23.1,14.4,no
L1+L12,39,-4.1,-29.0,21.3,no
L2+L5,39,-9.2,-30.0,11.8,no
L4+L5,39,-14.4,-34.9,4.9,no
L5+L12,39,-14.4,-39.0,9.0,no
L1+L5,39,-16.9,-42.8,9.0,no
